RA,DEC,zCMB,x1,e_x1,c,e_c,mB,e_mB
164.550186,37.079322999999995,0.03035,-0.336958,0.08418189999999999,0.28276,0.029060900000000004,17.00553,0.0417125
156.020462,23.670033,0.027030000000000002,-1.34838,0.20313,0.27603,0.033476599999999995,17.03164,0.05275850000000001
267.140656,25.621168,0.03483,0.7818,0.0721547,0.0657783,0.030186599999999997,16.55251,0.044648099999999996
145.469772,41.620831,0.032060000000000005,-1.7332,0.18191,0.021303,0.0416405,16.68589,0.0653929
195.334503,40.947701,0.0387,0.4196,0.22571999999999998,0.0207414,0.030121199999999997,16.680310000000002,0.0423383
268.438843,38.018966999999996,0.03337,-0.0611766,0.06971210000000001,-0.0649131,0.0289043,16.53819,0.0415332
308.404388,6.381926,0.03461,2.03622,0.25090999999999997,0.1983,0.032692900000000004,16.7502,0.047736900000000006
12.088017,40.919174,0.030080000000000003,-2.96265,0.13832,0.0337954,0.029787,16.64722,0.0435264
331.610077,30.441903999999997,0.03265,-0.371923,0.1815,0.08907910000000001,0.030429400000000002,16.6097,0.0461117
155.157669,23.000892999999998,0.03084,-1.72917,0.26936,0.10945999999999999,0.0356853,16.8435,0.0675618
195.1017,12.177033,0.034460000000000005,2.1776400000000002,0.46788,0.20260999999999998,0.032298400000000005,16.92415,0.046624599999999995
139.014267,58.419109,0.03305,-2.66617,0.18198,0.0515891,0.0362229,16.75535,0.057908600000000005
79.889229,3.944864,0.029169999999999998,-1.55974,0.17412,0.11475999999999999,0.0371815,16.65033,0.0595362
265.832916,9.865039999999999,0.032389999999999995,1.20203,0.08040900000000001,0.06653239999999999,0.030211599999999998,16.4239,0.0505594
8.308327,8.979314,0.03714,0.9154,0.12517999999999999,-0.0764496,0.029531400000000003,16.487029999999997,0.0427686
199.875702,44.071609,0.03573,0.46998999999999996,0.23221,0.06280319999999999,0.033230699999999995,16.83117,0.0574485
